,0
894,328599362
895,393217860
896,734529346
897,3409729
898,741607240
899,10225481
900,63178571
901,132777804
902,1967948
903,562038606
904,500959059
905,17041236
906,174982998
907,87557975
908,104466269
909,55314270
910,158205790
911,100140894
912,99092327
913,75237228
914,168036205
915,406849392
916,324274035
917,14026613
918,38406009
919,5900156
920,20580222
921,14026623
922,444204931
923,18876291
924,4851587
925,58460038
926,209586055
927,511182730
928,34867082
929,182585230
930,423233424
931,386271121
932,27527059
933,181405588
934,33687446
935,1968024
936,161089433
937,131860378
938,116524957
939,185468831
940,731908001
941,3671969
942,493356967
943,258869159
944,287442860
945,290981805
946,212862893
947,290850747
948,62785468
949,152307647
950,44959680
951,59639746
952,78120898
953,185993167
954,334759889
955,82315220
956,623511514
957,8783837
958,17172447
959,28051424
960,178259936
961,253626341
962,51251176
963,283903978
964,120719343
965,277612527
966,24774641
967,32114674
968,77072369
969,458885109
970,126879733
971,105777143
972,139986936
973,234489852
974,414844924
975,42207233
976,49678339
977,225970179
978,97519626
979,12584974
980,306579477
981,501876758
982,499255321
983,524552218
984,31197217
985,195168290
986,570296358
987,185468969
988,51906602
989,222431274
990,338167852
991,587860012
992,664537132
993,248907823
994,7604271
995,300419116
996,69994549
997,56363063
998,136185912
999,235800634
1000,350881850
1001,267126846
1002,442501183
1003,191236160
1004,17434688
1005,65800263
1006,363989064
1007,304482376
1008,255461453
1009,170788942
1010,15861839
1011,150734928
1012,147589201
1013,21366863
1014,368445524
1015,374212692
1016,42731605
1017,498862167
1018,312477783
1019,385353815
1020,298322010
1021,309725270
1022,484706396
1023,20318303
1024,48236644
1025,330958949
1026,18876518
1027,320997481
1028,212207722
1029,287180908
1030,182061165
1031,238553199
1032,31721583
1033,1968241
1034,161220722
1035,84150386
1036,565446772
1037,222300280
1038,28969090
1039,592054404
1040,258082948
1041,298846342
1042,20056199
1043,567019660
1044,134613135
1045,274073744
1046,12847248
1047,553388180
1048,568592537
1049,124127386
1050,84543643
1051,583141537
1052,307497126
1053,458623147
1054,24250543
1055,462948528
1056,1706160
1057,14026930
1058,607783091
1059,434768053
1060,164628664
1061,5114044
1062,70781118
1063,552601793
1064,262539458
1065,21498051
1066,33687749
1067,599525578
1068,314312916
1069,271714518
1070,336726231
1071,375130330
1072,42076378
1073,234883300
1074,112068836
1075,247859431
1076,166594796
1077,457312494
1078,486279411
1079,307235060
1080,461637881
1081,3279098
1082,271059195
1083,489949436
1084,58722562
1085,611715333
1086,295569670
1087,2230541
1088,323488014
1089,153487630
1090,311167253
1091,398067991
1092,118360344
1093,186911000
1094,336988439
1095,294652187
1096,48367900
1097,12585245
1098,263850269
1099,153618717
1100,14420250
1101,132909347
1102,64096548
1103,567413031
1104,244058408
1105,185469225
1106,210110762
1107,589170988
1108,291375410
1109,11012402
1110,302123317
1111,403835194
1112,77072699
1113,423627068
1114,387582269
1115,324274494
1116,506071357
1117,615647548
1118,294914368
1119,9177415
1120,62523719
1121,178260296
1122,31983946
1123,138676554
1124,148113739
1125,224397649
1126,71960914
1127,311691603
1128,5245268
1129,28707158
1130,59902298
1131,345770335
1132,612764000
1133,36833633
1134,309201251
1135,397281638
1136,283904360
1137,269093227
1138,14682482
1139,146671988
1140,249563509
1141,648939897
1142,645794172
1143,12192129
1144,746850690
1145,288491911
1146,169740682
1147,495061388
1148,255592846
1149,773851536
1150,60164500
1151,179308951
1152,431098263
1153,237504920
1154,163187102
1155,260704674
1156,277744039
1157,206440872
1158,245762474
1159,579209645
1160,6031790
1161,226101679
1162,219285936
1163,497682871
1164,239733181
1165,170133954
1166,278661570
1167,142084546
1168,27396549
1169,272370118
1170,45353413
1171,145361352
1172,366348744
1173,394529224
1174,6949324
1175,28445132
1176,228985296
1177,185993682
1178,23857624
1179,412355035
1180,149031387
1181,28051931
1182,509086175
1183,587598309
1184,551160295
1185,472517097
1186,32115178
1187,199363052
1188,26348025
1189,26872313
1190,519178747
1191,158075386
1192,378407423
1193,486803967
1194,296225282
1195,511183366
1196,152701448
1197,8915466
1198,537004554
1199,216402444
1200,185731606
1201,638978583
1202,312478233
1203,201067035
1204,393092770
1205,397543971
1206,417073699
1207,742132266
1208,276171307
1209,314706478
1210,176294447
1211,468453936
1212,239995441
1213,341314102
1214,282987063
1215,610142777
1216,365562427
1217,8129084
1218,188877373
1219,628361789
1220,40372802
1221,65276485
1222,64358982
1223,211814984
1224,335809100
1225,394267213
1226,385616462
